1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1190,0,3,0,803,0,303,540,4,1962,1190,3,7728,70,120,18,6,5,1106,1962,1962,132500
858,0,2,3,322,0,536,684,3,1979,858,3,7340,69,0,0,6,4,858,1971,1971,110000
2223,0,3,1,1880,0,343,516,0,1973,2223,3,13651,95,1115,0,6,7,2223,1973,1973,244000
1005,0,2,3,0,6,1005,672,3,1977,1005,1,10434,60,0,0,5,4,1005,1955,1955,115000
1086,809,3,3,0,6,712,409,0,1994,1895,2,10832,69,0,46,5,7,712,1994,1996,194500
1040,0,3,3,906,5,134,384,3,1965,1040,3,11200,70,0,0,5,5,1040,1965,1965,129500
1264,0,3,3,697,5,571,461,3,1960,1264,3,9300,73,324,0,5,5,1268,1960,1960,167500
874,887,3,3,0,6,874,578,0,2007,1761,2,10207,84,0,105,6,7,874,2007,2007,227875
1034,0,3,0,539,2,473,888,3,1976,1034,3,12328,69,335,0,5,6,1012,1976,1976,169900
1363,0,2,1,226,3,96,439,3,1954,1363,3,39104,73,0,0,7,7,1385,1954,2005,241500
1689,0,3,3,0,6,1436,480,3,1956,1689,3,9855,73,0,0,5,6,1436,1956,1956,127500
2113,0,2,1,1696,2,413,839,0,1995,2113,2,10437,91,660,46,6,8,2109,1995,1995,350000
1573,0,3,3,788,2,785,544,2,2002,1573,2,9808,67,110,72,5,7,1573,2002,2002,227000
2364,0,0,1,2188,2,142,820,0,2009,2364,0,12919,100,760,67,5,9,2330,2009,2010,611657
1057,977,0,3,739,2,318,645,2,1998,2034,2,9375,69,573,36,5,7,1057,1997,1998,219500
1291,0,2,2,1003,2,288,431,3,1996,1291,2,2887,69,0,0,5,6,1291,1996,1997,173000
858,0,2,1,696,1,162,0,1,0,858,3,7207,50,0,0,7,5,858,1958,2008,116500
698,560,2,2,204,5,356,280,3,1939,1258,3,9060,60,0,0,5,6,560,1939,1950,105000
438,0,1,3,290,5,0,246,3,1930,438,1,8400,60,0,0,5,2,290,1920,1950,60000
672,728,0,3,209,0,463,440,0,1978,1400,3,7844,74,203,0,7,6,672,1978,1978,149500
954,0,2,3,0,6,920,240,3,1938,954,1,6305,50,0,0,7,5,920,1938,1950,119750
1445,0,0,1,564,7,563,645,2,1964,1445,3,12095,69,115,0,6,6,1127,1964,1964,158000
1072,0,2,1,459,7,88,525,4,2005,1072,3,3675,35,80,28,5,6,547,2005,2005,148000
1664,0,4,4,0,4,0,0,1,0,1664,3,9825,75,0,0,5,5,0,1965,1965,100000
1445,689,5,3,0,6,844,441,3,1930,2134,2,11888,69,0,60,6,6,844,1916,1994,214500
1940,1254,4,2,428,1,537,380,3,1934,3194,3,12168,78,0,0,6,8,965,1934,1998,359100
912,912,4,0,0,6,912,0,1,0,1824,3,9400,94,0,0,5,6,912,1971,1971,139000
888,868,3,3,742,0,130,422,0,1996,1756,3,9303,69,42,122,5,6,872,1996,1997,204000
912,0,2,3,595,0,317,576,3,1992,912,2,8872,72,300,240,8,5,912,1965,2008,147000
1509,0,3,0,783,2,678,600,2,1988,1509,2,10200,85,219,0,5,6,1461,1988,1989,175000
1160,448,3,3,264,1,712,216,3,1925,1608,2,6171,51,0,16,6,6,976,1925,1990,137450
1316,0,3,3,28,2,1288,397,0,2005,1316,2,10237,65,0,0,5,6,1316,2005,2006,169990
1015,0,3,3,489,5,279,450,3,1925,1015,3,6120,51,0,0,7,5,768,1925,1950,88000
756,378,3,3,312,0,444,240,3,1940,1134,3,8160,60,0,0,6,5,756,1940,1950,126000
1636,0,3,3,63,2,1560,865,2,2006,1636,2,13501,116,208,60,5,8,1623,2006,2006,255000
660,660,3,3,0,6,660,400,0,2003,1320,2,7750,69,0,48,5,7,660,2003,2003,162000
1160,966,3,1,249,3,0,538,0,1967,2126,3,28698,69,0,0,5,5,1013,1967,1967,185000
1128,0,3,2,776,0,344,525,2,1963,1128,3,8700,80,148,20,6,5,1120,1963,1963,155000
1306,0,2,2,860,1,132,756,3,1968,1306,3,8712,64,0,0,7,5,992,1957,2000,153000
798,546,3,3,0,6,546,0,1,0,1344,3,1533,21,0,0,6,4,546,1970,2008,97000
1576,978,3,3,0,7,718,704,3,1996,2554,3,10800,60,0,48,8,7,718,1890,1998,159500
893,0,2,3,220,0,625,576,3,1985,893,2,9600,60,0,0,7,5,845,1949,2003,135000
894,1039,4,2,0,6,894,668,0,2007,1933,2,14598,86,74,18,5,6,894,2007,2007,214000
672,546,3,3,356,1,316,264,3,1973,1218,3,1890,21,285,28,5,6,672,1973,1973,113000
1161,808,3,3,0,6,808,534,2,1977,1969,3,11952,92,0,0,6,7,808,1977,1977,190000
1220,870,3,3,1079,2,141,556,2,1995,2090,2,10000,80,438,65,5,8,1220,1995,1996,240000
1484,0,3,0,998,0,486,487,3,1971,1484,3,12243,70,0,0,6,5,1484,1971,1971,175000
1656,0,4,3,0,6,1656,506,3,1973,1656,3,9246,87,564,211,5,5,1656,1973,1973,135000
818,406,3,3,468,5,350,210,3,1926,1224,3,3950,69,0,0,8,6,818,1926,2004,115000
1022,1032,3,3,695,2,297,390,2,2000,2054,2,12224,69,40,48,5,6,992,2000,2000,244000
854,0,2,3,0,6,832,576,3,1991,854,3,6120,51,0,112,8,7,832,1929,2001,132000
546,546,3,3,334,1,212,286,2,1973,1092,3,1974,69,0,96,5,4,546,1973,1973,83500
1268,0,3,0,196,0,1072,252,3,1978,1268,2,9286,69,0,0,7,5,1268,1977,1989,143500
827,834,3,0,385,2,70,550,2,1996,1661,2,10667,43,0,61,6,7,799,1996,1996,212000
1668,0,3,0,370,1,315,502,0,2003,1668,2,10635,48,171,262,5,8,1657,2003,2003,232000
1493,0,0,1,994,2,484,508,0,1997,1493,2,13125,75,215,39,5,6,1478,1997,1998,208900
932,0,2,3,0,6,932,306,3,1950,932,2,8280,57,0,0,5,6,932,1950,1950,124000
1277,0,2,1,778,2,499,526,3,1970,1277,3,10628,85,0,0,5,7,1277,1970,1970,167000
1530,0,3,0,1300,2,230,630,0,2004,1530,2,14572,182,0,36,5,7,1530,2004,2004,259000
1344,0,2,3,457,0,193,484,3,1970,1344,3,9503,69,0,28,5,5,1024,1958,1983,144000
860,0,2,0,672,0,168,528,3,1996,860,3,8740,74,0,0,6,5,840,1982,1982,137000
1314,0,2,3,904,2,410,626,4,2008,1314,2,5001,34,166,62,5,7,1314,2007,2008,230000
1391,571,3,2,464,2,927,868,2,2006,1962,2,8760,73,0,90,5,7,1391,2006,2006,239799
788,702,3,0,724,2,64,388,0,2004,1490,2,15384,60,0,75,5,7,788,2004,2005,184000
848,0,1,0,662,2,186,420,4,2004,848,2,4426,69,169,0,5,6,848,2004,2004,143000
672,0,2,3,0,6,672,240,3,1940,672,3,10200,60,0,0,8,5,672,1940,1997,108000
1188,1152,4,3,275,2,877,252,2,1941,2340,2,9042,66,0,60,9,7,1152,1941,2006,266500
808,704,3,3,0,6,660,180,3,1916,1656,3,10410,60,0,0,7,5,660,1916,1987,135000
725,754,4,3,626,0,99,484,0,1972,1479,2,7472,69,138,32,9,7,725,1972,2004,184000
1226,0,0,3,0,6,1226,740,2,2009,1226,2,10402,94,0,36,5,7,1226,2009,2009,198900
976,1111,5,1,568,3,264,444,0,1966,2087,2,12205,69,157,168,8,6,832,1966,2007,187500
1158,0,3,3,941,0,217,576,3,2006,1158,2,13072,63,0,50,5,6,1158,2004,2004,158000
1154,0,3,2,740,1,184,480,2,1966,1154,3,11000,69,200,58,6,5,1154,1966,1966,154000
880,844,3,0,0,6,880,527,0,1998,1724,2,8924,57,0,155,5,7,880,1998,1999,188000
773,885,3,3,219,2,554,431,0,1995,1658,3,8000,69,0,84,5,6,773,1995,1996,188000
1126,0,2,4,0,4,0,520,0,2002,1126,2,8777,67,0,96,5,4,0,1949,2003,108000
872,521,3,3,0,6,816,300,3,1955,1393,3,16466,59,0,0,7,5,816,1955,1955,135500
1968,1479,4,2,192,5,536,1014,4,1982,3447,2,14100,69,632,12,9,8,728,1935,1997,381000
483,504,2,3,309,1,174,264,3,1973,987,3,1953,21,408,0,5,6,483,1973,1973,83000
808,547,4,3,351,0,112,0,1,0,1355,3,10106,62,0,0,7,5,644,1940,1999,127500
2069,0,4,1,425,2,160,505,2,1960,2069,2,27650,313,0,0,7,7,585,1960,2007,242000
757,0,0,3,549,0,195,440,3,1999,1501,3,2280,24,360,0,5,7,744,1999,1999,179400
1976,0,2,1,1350,7,626,908,2,2006,1976,2,14977,110,304,63,5,8,1976,2006,2007,440000
1563,0,3,3,33,2,1530,758,2,2007,1563,2,10206,78,468,99,5,8,1563,2007,2007,245000
572,539,2,3,0,6,572,288,3,1982,1111,3,5700,69,0,0,7,7,572,1926,1950,116900
851,651,3,3,0,6,776,270,2,1931,1502,3,7200,60,0,0,6,7,776,1931,2000,149000
1733,0,4,4,0,4,0,452,3,1955,1733,3,13680,69,0,0,5,3,0,1955,1955,139600
1848,880,4,3,1410,2,438,706,0,2006,2728,0,20431,56,870,0,5,9,1848,2005,2006,437154
630,672,3,3,231,0,399,264,3,1972,1302,3,1680,21,268,0,7,5,630,1972,1972,119500
1332,192,0,1,1258,2,74,586,0,1979,1524,2,23595,69,0,0,6,7,1332,1979,1979,260000
1120,468,4,4,0,4,0,680,0,1991,1588,3,17120,80,0,59,4,4,0,1959,1959,134432
1125,0,2,3,0,6,1125,430,3,2007,1125,3,8536,74,0,64,5,5,1125,2006,2007,155000
520,600,2,3,0,6,600,480,2,2005,1200,2,3180,30,0,166,5,7,600,2005,2005,151000
798,842,3,3,0,6,798,520,2,2004,1640,2,8366,65,0,45,5,6,798,2004,2004,173000
1223,904,3,3,1000,2,223,525,2,1994,2127,2,10944,81,448,132,5,7,1223,1994,1994,271000
972,0,2,3,680,0,292,240,3,1948,972,3,8000,50,0,0,6,6,972,1948,2002,132000
1142,878,3,3,584,2,544,466,2,1995,2020,2,9828,80,0,155,5,8,1128,1995,1995,239500
1144,0,0,0,739,1,405,596,3,1956,1144,3,9571,68,0,0,6,5,1144,1956,1956,129000
1352,0,3,0,300,1,468,288,3,1958,1352,2,6930,92,120,0,4,5,1062,1958,1958,130000
926,0,3,3,234,3,0,484,3,1974,1316,3,5500,50,0,0,7,5,926,1929,2001,130000
1086,838,3,0,956,2,130,592,2,1998,1924,2,12011,78,530,75,5,8,1086,1998,1998,280000
1164,0,3,3,1040,0,124,240,3,1950,1164,3,10880,68,0,48,5,5,1164,1950,1950,125000
952,0,2,2,852,0,100,840,3,1988,952,3,7350,60,0,0,7,5,952,1951,1951,139000
938,1215,4,3,259,3,425,0,1,0,2358,3,5250,50,0,54,5,8,684,1872,1987,122000
1680,0,3,3,808,2,72,540,0,1988,1680,2,21695,69,260,44,9,6,880,1988,2007,222000
1221,691,3,3,0,6,482,672,3,2003,1912,3,10800,60,0,25,7,6,482,1905,2000,163000
1004,0,2,3,578,0,426,480,0,1970,1004,3,11241,69,180,0,7,6,1004,1970,1970,149000
774,456,3,3,384,0,363,305,3,1946,1230,3,4712,51,0,57,7,4,747,1946,1950,121600
1167,0,3,3,645,1,270,495,3,1972,1167,3,8731,98,0,0,5,5,915,1920,1950,144000
1301,0,2,2,405,3,740,440,3,1965,1301,1,6911,60,0,0,5,5,1145,1924,1950,100000
1453,0,0,1,1082,2,371,445,2,1986,1453,2,5271,69,0,80,5,7,1453,1986,1986,190000
1601,0,3,0,1358,2,223,670,2,2001,1601,2,11423,69,479,0,5,8,1581,2001,2002,272000
1588,0,3,0,0,6,1588,825,4,2006,1588,2,10000,85,410,45,5,8,1588,2006,2006,227000
1095,0,2,1,513,0,75,264,4,1958,1095,3,10382,75,105,0,5,6,588,1958,1958,140000
1050,0,3,3,915,5,135,368,3,1961,1050,3,10659,69,0,319,6,5,1050,1961,1961,136500
960,0,3,3,520,5,440,432,0,1965,960,3,10921,73,48,0,5,4,960,1965,1965,94750
1002,454,4,2,0,6,810,280,3,1954,1456,3,7585,50,0,0,3,5,810,1948,1950,91500
1489,0,3,3,0,6,1489,462,2,1968,1489,2,9156,69,0,0,7,6,1489,1968,1968,185750
1726,0,3,3,1126,7,600,786,4,2007,1726,0,9416,79,205,138,5,7,1726,2007,2007,311872
1362,720,3,3,0,6,1362,484,3,2003,2082,2,11426,63,0,238,5,7,1362,2003,2003,200000
1339,0,0,3,1053,0,256,484,0,1990,1339,3,8049,50,54,58,5,7,1309,1990,1990,180000
1310,1140,3,2,781,2,503,1069,0,1998,2450,2,16545,69,731,126,5,8,1284,1998,1998,340000
879,984,4,0,0,6,879,660,0,2006,1863,2,14054,58,0,17,5,7,879,2006,2006,219210
768,0,2,0,656,2,112,396,3,1988,768,3,8445,70,0,0,7,5,768,1972,2007,133000
334,0,1,4,0,4,0,0,1,0,334,1,5000,50,0,0,3,1,0,1946,1950,39300
1136,0,3,3,892,5,244,384,4,1965,1136,3,9200,80,0,0,6,6,1136,1965,1965,140000
1337,0,2,3,1201,2,36,405,0,1998,1337,3,4500,32,443,199,5,6,1237,1998,1998,153500
912,0,2,3,312,5,0,288,3,1964,912,3,7800,66,0,0,5,5,912,1964,1964,115000
876,936,4,3,540,0,324,264,2,1962,1812,3,7590,69,288,168,5,5,864,1962,1962,169500
1052,720,4,3,378,7,342,240,4,1939,2192,2,8400,60,0,24,8,5,720,1939,1997,179500
658,526,5,3,0,6,658,0,1,0,1184,3,8410,58,0,151,3,5,658,1910,1996,81000
964,925,4,3,0,6,925,308,3,1960,1889,3,10120,60,0,0,4,7,925,1910,1950,122000
1327,0,0,3,405,5,658,624,3,1974,1327,2,7388,75,0,0,6,5,1063,1959,2002,150750
1422,0,3,3,588,7,606,576,0,1981,1422,2,12090,78,210,0,6,6,1422,1981,1981,175500
